feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,class
2.25,10.54,,0.07,1.44,1.44,156.75,140.67,102.53,,0.79,3.68,4.68,34.73,78.63,7.85,6.62,9.46,10.24,56.79,1.0
9.76,13.44,15.29,2.35,3.34,3.34,570.1,148.75,151.52,0.19,0.27,0.38,1.38,17.93,27.39,45.3,7.13,0.0,9.14,24.39,1.0
3.13,21.69,4.43,0.26,1.17,1.17,514.63,396.26,435.45,,85.56,592.3,6.92,3.13,85.56,3.66,,0.0,0.0,0.0,1.0
6.84,10.42,3.16,2.46,2.91,2.91,168.13,25.49,57.14,,0.34,0.52,1.52,6.84,34.36,19.91,,0.0,0.0,0.0,1.0
0.43,6.92,0.34,0.03,1.05,1.05,282.98,250.4,244.44,,0.94,15.0,16.0,21.3,93.75,6.98,1.6,0.0,16.22,71.21,1.0
12.28,37.69,60.45,0.64,0.69,0.69,1791.26,55.79,1194.12,,67.4,206.79,3.07,12.28,67.4,23.34,0.61,0.0,0.0,0.0,1.0
2.38,4.31,,0.05,0.97,0.97,136.08,38.74,42.06,,0.45,0.81,1.81,56.99,44.84,15.63,0.97,7.49,15.14,58.56,1.0
12.6,15.03,2.95,4.37,6.69,7.64,85.1,24.25,11.01,10.48,0.16,0.19,1.19,12.6,16.19,77.82,,0.0,0.0,0.0,1.0
18.91,26.44,45.93,1.56,3.54,3.54,883.92,490.41,246.62,,0.28,0.4,1.4,21.91,28.46,66.46,,0.02,7.28,10.51,1.0
-12.09,-36.54,-5.22,1.36,1.55,1.55,41.9,18.43,100.53,,0.67,2.02,3.02,-12.09,66.9,-18.07,,0.0,0.0,0.0,1.0
15.89,125.55,7.53,0.97,1.1,1.1,172.47,16.06,94.47,0.02,0.87,6.9,7.9,24.06,87.34,23.35,1.3,13.93,2.76,17.57,1.0
19.12,20.35,,16.47,16.47,16.47,1115.23,,66.96,,0.06,0.06,1.06,27.19,6.07,314.86,,0.0,19.93,19.97,1.0
4.56,23.18,5.19,0.14,1.13,1.13,413.94,323.49,328.76,,0.8,4.08,5.08,4.56,80.3,8.3,2.04,0.0,0.0,0.0,1.0
67.92,123.36,38.02,2.14,2.24,2.25,203.78,8.79,89.73,0.98,0.45,0.82,1.82,79.97,44.94,151.11,,0.0,6.75,13.29,1.0
41.55,57.32,28.12,1.33,3.92,3.92,246.36,161.02,62.23,,27.51,37.95,1.38,48.04,27.51,151.06,,0.0,4.39,10.24,1.0
-23.5,77.0,-128.47,0.18,0.18,0.18,1989.57,,2568.33,,1.31,-4.28,-3.28,-23.5,130.52,0.63,-0.4,0.0,0.0,0.0,1.0
0.48,22.4,,0.01,0.02,0.02,6069.88,75.28,5874.54,,0.98,45.67,46.67,0.48,97.86,5.31,0.02,0.0,0.0,0.0,1.0
18.96,24.87,23.38,1.8,4.21,4.21,448.8,254.62,105.43,,23.78,31.2,1.31,26.65,23.78,118.75,,0.0,9.48,18.41,1.0
1.79,3.28,3.98,0.0,0.5,0.56,807.71,160.4,326.01,20.32,0.45,0.83,1.83,7.22,45.34,9.47,0.77,3.54,8.9,30.35,1.0
0.82,2.11,0.81,1.85,5.02,5.02,358.67,221.91,69.98,,0.61,1.57,2.57,93.51,61.07,1.34,78.02,0.02,91.33,98.59,1.0
16.9,20.76,5.13,3.92,3.92,5.5,110.57,,19.83,31.53,18.57,22.8,1.23,112.84,18.57,91.03,,0.04,29.14,80.95,1.0
10.24,27.26,1.24,1.54,1.55,1.55,43.96,0.26,26.92,,0.62,1.66,2.66,146.89,62.44,16.4,,0.0,12.22,110.55,1.0
1.28,5.54,,0.81,1.49,1.49,155.0,49.32,45.99,,0.77,3.32,4.32,51.53,76.83,5.94,1.72,43.89,15.19,56.75,1.0
15.03,57.17,,0.3,0.45,0.46,238.17,31.16,203.31,1.49,0.74,2.8,3.8,22.87,73.7,38.19,0.4,0.0,4.51,12.32,1.0
17.51,25.38,4.77,4.48,4.48,6.33,99.23,,15.51,28.66,31.03,44.99,1.45,71.74,31.03,56.42,,0.0,14.79,70.11,1.0
3.45,33.18,,29.55,102.29,102.29,236.83,166.56,2.29,,0.9,8.62,9.62,3.45,89.6,3.85,,0.0,0.0,0.0,1.0
-68.7,55.01,-144.45,0.1,0.48,0.48,765.35,604.33,1580.87,,2.25,-1.8,-0.8,129.81,224.88,-30.55,,0.0,417.39,733.94,1.0
59.35,73.23,59.48,0.01,5.28,5.28,184.38,360.0,68.37,,18.95,23.38,1.23,59.35,18.95,313.19,,0.0,0.0,0.0,1.0
16.17,24.87,7.42,0.06,5.56,5.78,166.98,116.24,23.95,5.08,0.35,0.54,1.54,61.01,34.98,60.29,4.19,0.0,15.24,39.11,1.0
12.08,112.09,8.52,0.15,0.84,1.09,256.86,157.48,225.83,55.0,89.22,827.97,9.28,18.17,89.22,14.99,3.85,0.01,3.21,21.98,1.0
1.42,2.13,1.72,3.04,3.05,3.05,440.51,1.5,143.0,,0.33,0.5,1.5,22.74,33.3,4.27,,0.0,25.8,70.85,1.0
11.7,18.37,9.28,3.58,4.9,5.18,288.76,63.22,47.79,13.29,0.36,0.57,1.57,14.57,36.01,33.19,6.28,19.28,1.93,12.19,1.0
21.79,23.22,66.55,15.44,15.44,16.25,534.47,,67.66,54.98,0.06,0.07,1.07,21.79,6.15,354.1,,0.0,0.0,0.0,1.0
-6.24,-12.16,-8.13,0.0,0.64,1.71,473.95,72.39,175.02,239.47,48.68,94.85,1.95,-2.88,48.68,-7.93,2.86,10.12,3.12,29.61,1.0
18.5,20.8,8.15,8.38,9.29,9.29,160.42,15.58,17.08,,0.11,0.12,1.12,69.85,11.1,166.67,,0.0,22.63,47.03,1.0
9.74,22.05,,1.51,1.62,1.68,382.6,16.13,150.51,10.13,0.56,1.26,2.26,36.2,55.8,19.48,1.78,0.0,21.17,50.1,1.0
4.95,25.33,1.04,0.68,0.85,0.85,76.09,10.29,47.57,,0.8,4.11,5.11,4.95,80.45,12.19,0.62,17.18,0.0,0.0,1.0
2.14,9.59,,0.06,0.34,2.96,260.18,24.87,87.07,227.57,0.78,3.47,4.47,8.29,77.64,2.76,,19.99,3.25,39.22,1.0
-3.62,64.59,-2.14,0.18,0.54,0.93,215.21,79.9,221.61,86.39,1.06,-18.85,-17.85,4.61,105.6,-2.81,-1.62,0.0,3.86,99.95,1.0
28.06,34.11,,2.52,5.64,5.64,49.29,27.0,8.64,,17.73,21.54,1.22,28.06,17.73,158.33,,0.0,0.0,0.0,1.0
16.33,51.12,8.09,1.0,1.67,1.67,180.22,71.31,105.99,0.06,0.68,2.14,3.13,23.94,68.42,26.63,52.0,7.51,2.86,16.21,1.0
15.55,34.15,23.03,,,,538.99,360.0,,,0.54,1.2,2.2,15.55,54.46,28.55,,0.0,0.0,0.0,1.0
1.98,30.41,2.32,0.13,1.03,1.03,426.79,338.6,376.81,,93.49,1437.19,15.37,8.05,93.49,4.0,1.31,0.0,7.12,70.49,1.0
13.4,13.62,15.27,6.56,61.75,61.75,414.75,366.61,6.64,,0.02,0.02,1.02,14.96,1.62,827.51,,0.0,1.78,7.47,1.0
2.8,5.19,1.82,-0.24,1.63,1.63,236.92,150.16,80.31,,0.46,0.86,1.86,8.98,46.1,42.25,1.48,0.0,4.03,20.99,1.0
1.76,2.11,,0.86,1.68,3.08,1492.55,175.78,213.75,298.27,0.17,0.2,1.2,18.0,16.57,31.12,1.54,0.0,44.71,159.92,1.0
-6.81,-7.31,,14.68,14.68,14.68,,,,,0.07,0.07,1.07,-6.81,6.81,-100.0,,0.0,,,1.0
30.96,35.2,24.31,2.43,8.29,8.29,285.8,199.76,34.11,,0.12,0.14,1.14,96.34,12.07,256.53,,0.0,51.34,62.23,1.0
2.85,3.2,,1.54,7.44,7.57,215.42,115.07,19.51,2.68,0.11,0.12,1.12,36.71,10.87,87.08,3.0,0.0,14.76,51.84,1.0
0.59,-16.64,0.33,0.26,0.85,0.85,203.31,121.53,207.89,,1.04,-29.11,-28.11,5.74,103.56,4.47,-0.28,0.0,2.11,31.78,1.0
0.24,0.26,1.49,0.0,0.34,0.34,2223.4,54.14,163.22,,0.07,0.08,1.08,0.34,7.42,3.28,0.95,0.0,0.61,8.53,1.0
-17.42,-149.91,-166.21,0.27,1.13,1.13,3473.47,2626.35,3036.15,,0.88,7.61,8.61,-17.42,88.38,-19.71,,0.0,0.0,0.0,1.0
19.2,20.48,,16.09,16.09,16.09,1011.08,,62.16,,6.22,6.63,1.07,19.2,6.22,308.96,,0.0,0.0,0.0,1.0
37.1,89.73,8.02,0.44,1.68,1.68,78.72,56.19,45.67,,0.59,1.42,2.42,37.1,58.66,63.44,23.78,0.0,0.0,0.0,1.0
-1.71,-3.13,-0.86,1.41,1.58,2.2,182.16,14.52,81.75,50.62,0.45,0.83,1.83,-0.18,45.38,-3.77,,0.0,0.76,29.13,1.0
-92.98,81.68,-108.42,0.03,0.04,0.24,424.46,10.19,803.54,157.3,213.83,-187.85,-0.88,-62.5,213.83,-38.53,-1.73,0.0,35.54,-76.95,1.0
8.46,41.65,,0.53,1.08,1.24,121.17,53.18,95.37,15.13,0.8,3.92,4.92,58.58,79.69,12.05,53.57,0.0,11.98,299.38,1.0
-334.61,174.64,-33.97,-0.56,-0.05,0.07,36.95,23.61,45.72,5.13,2.92,-1.52,-0.52,-80.36,291.6,-107.32,-0.27,0.0,25.81,357.54,1.0
8.9,44.01,,0.16,1.44,1.46,228.22,139.29,102.29,1.88,0.78,3.86,4.95,15.34,78.04,18.72,1.4,2.87,3.07,20.88,1.0
-0.19,-0.46,,0.14,0.24,1.7,,,,,0.59,1.43,2.43,-0.19,58.91,-0.32,,0.0,,0.0,1.0
0.14,0.42,0.07,0.03,1.27,1.4,180.43,133.78,82.56,14.52,0.66,1.94,2.94,85.25,66.03,5.23,2.39,14.23,30.62,68.03,1.0
-6.14,-11.19,-12.03,0.3,15.72,15.72,712.85,391.41,26.22,,0.45,0.82,1.82,1.96,45.1,16.55,2.32,0.0,15.87,39.31,1.0
4.25,9.73,,0.77,1.97,1.97,92.77,55.68,37.49,,56.36,129.17,2.29,82.12,56.36,7.53,,9.7,15.13,66.64,1.0
37.63,84.21,,1.01,1.59,1.59,82.03,35.17,60.91,,55.32,123.8,2.24,49.43,55.32,68.02,3.51,0.0,2.79,13.8,1.0
0.87,0.91,0.31,80.94,84.37,84.37,65.0,5.28,1.54,,0.04,0.05,1.05,0.87,4.5,19.25,,0.0,0.0,0.0,1.0
33.32,35.74,,12.72,14.81,14.81,484.88,63.03,30.21,,0.07,0.07,1.07,42.22,6.76,538.64,13.96,0.0,8.15,10.8,1.0
6.51,30.88,2.41,0.18,0.29,0.31,134.7,11.95,97.48,1.73,0.79,3.74,4.74,14.7,78.91,27.96,0.28,5.73,3.03,22.78,1.0
19.29,44.33,,0.36,1.78,1.78,46.98,37.13,26.12,,56.47,129.75,2.3,46.08,56.47,34.16,,0.0,2.75,36.05,1.0
10.86,36.7,6.18,0.51,1.17,1.27,207.0,75.16,137.09,14.19,70.4,237.88,3.38,22.89,70.4,15.59,2.33,1.63,5.04,33.06,1.0
6.39,22.88,1.62,0.52,1.37,1.37,92.45,34.09,39.84,,58.73,210.41,3.58,44.9,58.73,35.82,1.14,0.0,7.07,44.34,1.0
-5.93,79.67,-11.72,0.6,0.89,0.89,719.8,225.94,764.81,0.23,1.07,-14.44,-13.44,-5.15,107.44,-4.62,-1.86,0.0,1.54,-31.42,1.0
0.44,0.46,1.21,16.24,16.24,16.24,1013.22,,61.71,,0.06,0.07,1.07,0.44,6.16,7.08,,0.0,0.0,0.0,1.0
12.08,22.6,2.71,0.12,0.8,1.11,81.7,21.97,32.18,9.72,0.46,0.86,1.87,91.53,46.16,35.91,1.07,0.0,12.64,54.99,1.0
34.52,63.37,,0.58,1.99,1.99,346.95,206.0,156.22,0.4,0.46,0.84,1.84,34.75,45.53,77.47,5.89,0.0,0.08,0.18,1.0
38.91,190.63,,0.4,1.12,1.12,48.36,27.16,38.04,,0.8,3.9,4.9,39.41,79.59,51.15,1.89,0.0,0.05,0.67,1.0
7.16,12.19,3.03,1.7,1.94,2.42,154.02,,62.87,30.35,0.41,0.7,1.7,7.16,41.27,17.34,,0.0,0.0,0.0,1.0
-9.96,-844.99,,0.42,0.81,0.81,243.37,93.73,173.78,,0.99,83.86,84.86,-7.93,98.82,-4.09,0.06,26.62,1.01,166.58,1.0
7.73,76.35,2.68,0.05,0.48,1.02,126.2,48.25,110.91,60.25,0.9,8.87,9.87,54.85,89.87,11.6,1.19,0.0,11.8,56.39,1.0
5.28,70.45,,0.45,0.94,0.94,149.28,66.21,136.55,,0.93,12.35,13.35,9.15,92.51,6.79,0.58,0.0,1.16,22.64,1.0
-10.11,-23.96,-5.47,4.37,5.47,5.47,197.08,34.42,31.53,,0.58,1.37,2.37,3.43,57.83,-8.23,7.25,0.0,7.33,29.78,1.0
5.67,5.21,1.09,0.64,1.06,1.06,64.14,27.17,65.41,,-8.79,-8.08,0.92,5.67,-8.79,-64.55,,0.0,0.0,0.0,1.0
-6.16,-26.98,-2.38,0.44,0.79,0.82,140.7,27.74,78.88,2.22,0.77,3.38,4.38,-5.24,77.19,0.94,0.81,0.0,0.36,5.67,1.0
2.03,12.22,2.96,0.24,0.74,1.01,530.3,213.07,426.44,113.17,0.83,5.02,6.02,13.97,83.4,2.43,0.92,0.0,17.4,71.47,1.0
36.75,42.09,52.6,6.25,7.87,7.87,521.05,105.92,65.46,,0.13,0.15,1.15,36.75,12.7,289.28,,0.0,0.0,0.0,1.0
-5.31,92.01,-9.76,1.7,1.86,1.86,669.25,17.8,115.75,,1.06,-18.34,-17.34,-0.65,105.77,7.7,-0.08,0.0,8.55,27.85,1.0
7.85,8.03,12.63,18.98,39.92,45.2,585.64,268.3,12.81,67.65,0.02,0.02,1.02,7.85,2.21,354.74,,0.0,0.0,0.0,1.0
-10.16,-15.9,-32.3,2.43,2.76,2.76,1157.47,135.59,413.56,,0.36,0.57,1.57,-10.16,36.13,-28.11,,0.0,0.0,0.0,1.0
26.02,28.16,15.67,12.49,12.55,13.15,219.18,1.06,16.48,9.94,0.08,0.08,1.08,30.52,7.6,342.25,,0.0,2.71,11.89,1.0
0.95,19.52,,0.01,0.26,0.26,4216.21,440.52,16.14,,95.14,1957.44,20.57,0.95,95.14,3.03,0.66,41.9,0.0,0.0,1.0
3.68,4.28,0.64,1.3,7.1,7.13,63.46,51.03,8.8,0.32,0.14,0.16,1.16,20.87,14.02,26.24,,0.0,3.0,49.31,1.0
21.39,22.73,,15.15,16.92,16.92,1333.52,138.14,77.95,,0.06,0.06,1.06,21.39,5.91,361.86,,0.0,0.0,0.0,1.0
11.3,29.49,5.19,0.46,0.97,0.97,167.24,51.45,101.92,,0.62,1.61,2.61,26.75,61.7,23.95,0.95,0.0,7.1,40.05,1.0
25.22,29.9,14.86,5.29,6.56,6.71,214.49,40.33,31.62,4.57,0.16,0.19,1.19,72.22,15.66,161.0,,0.0,27.7,57.48,1.0
12.09,20.5,18.49,1.97,1.97,2.48,437.29,,222.08,112.46,0.4,0.68,1.7,12.09,40.35,29.97,,0.0,0.0,0.0,1.0
0.77,9.38,,-0.02,0.69,0.69,245.57,128.69,182.48,,0.92,11.19,12.19,2.54,91.79,16.98,0.52,0.0,0.88,5.82,1.0
1.3,4.69,0.58,0.36,1.19,1.48,162.69,60.24,76.47,22.66,0.72,2.6,3.6,10.36,72.2,4.73,1.78,0.0,2.83,37.85,1.0
14.26,26.26,7.3,1.8,2.08,2.12,186.26,23.14,83.26,3.31,0.46,0.84,1.84,19.63,45.7,40.92,13.47,0.0,2.75,19.28,1.0
36.17,42.26,33.6,5.58,6.95,6.95,317.63,65.75,48.13,,0.14,0.17,1.17,38.15,14.39,251.3,,0.0,1.84,4.07,1.0
4.89,5.42,1.03,10.15,10.15,10.15,76.85,,7.49,,0.1,0.11,1.11,4.89,9.85,49.58,,0.0,0.0,0.0,1.0
66.05,81.17,57.48,7.53,7.53,7.53,236.73,,58.38,,0.19,0.23,1.23,66.05,18.63,354.48,-2.02,0.0,0.0,0.0,1.0
19.26,29.93,,1.58,2.1,2.1,207.61,38.07,26.46,,0.36,0.55,1.55,19.26,35.67,57.63,2.58,22.78,0.0,0.0,1.0
26.87,31.24,4.96,6.14,6.63,6.65,67.23,4.4,8.97,0.24,0.14,0.16,1.16,32.5,13.99,280.09,8.39,0.0,1.04,10.91,1.0
31.51,34.84,16.35,4.84,10.48,10.48,188.88,18.46,17.83,,0.1,0.11,1.11,31.51,9.54,355.33,,0.0,0.0,0.0,1.0
0.93,17.34,0.45,0.0,0.4,1.01,175.25,65.69,164.03,99.76,0.95,17.63,18.63,39.32,94.63,2.0,1.27,0.0,18.48,89.25,1.0
10.55,13.82,1.9,3.85,4.23,4.23,61.62,5.73,15.29,,0.24,0.31,1.31,10.55,23.65,44.63,,0.0,0.0,0.0,1.0
52.34,72.5,15.12,0.89,3.88,3.88,105.17,75.55,25.24,,0.28,0.39,1.39,169.58,27.82,189.26,12.98,0.0,25.48,47.85,1.0
21.36,61.72,4.88,0.23,1.53,1.53,83.21,69.85,53.81,,0.65,1.89,2.89,101.69,65.39,32.67,,0.0,18.36,64.32,1.0
-2.1,-7.86,,0.39,1.36,1.36,1665.88,,1208.16,,73.33,274.95,3.75,-2.1,73.33,-2.86,,0.0,0.0,,1.0
19.88,20.91,37.54,19.35,20.28,20.28,687.39,29.06,33.53,,0.05,0.05,1.05,19.88,4.93,403.13,,0.0,0.0,0.0,1.0
25.76,27.77,60.68,13.79,13.79,13.79,857.41,,61.49,,0.07,0.08,1.08,25.76,7.25,355.21,,0.0,0.0,0.0,1.0
4.54,20.3,,1.62,2.19,2.26,134.58,21.44,37.77,2.67,0.76,3.42,4.47,27.74,76.49,12.94,1.64,0.0,6.95,44.68,1.0
78.56,78.56,,,,,435.52,360.0,,,,,1.0,78.56,0.0,,,0.0,0.0,0.0,1.0
2.81,3.02,,14.05,14.05,14.05,3474.33,,244.62,,7.12,7.66,1.08,2.81,7.12,39.43,,0.0,0.0,0.0,1.0
15.3,20.7,8.41,1.7,3.93,3.93,200.02,97.66,43.73,,0.26,0.35,1.35,49.36,26.08,75.45,5.84,0.0,14.88,44.7,1.0
1.95,106.23,0.94,0.29,1.01,1.39,175.89,88.34,122.17,45.81,0.98,53.55,54.55,33.6,98.17,7.42,0.96,0.0,15.29,117.96,1.0
-3.49,-7.15,-1.05,0.29,0.78,0.78,109.47,27.11,55.4,,51.15,104.69,2.05,-3.49,51.15,9.48,0.81,-0.02,0.0,0.0,1.0
1.05,20.52,78.0,0.06,0.06,0.06,26925.84,,25261.65,,0.95,18.46,19.46,1.05,94.86,1.11,0.05,0.0,0.0,0.0,1.0
-0.68,-73.37,,0.39,0.8,0.8,1289.06,110.41,271.37,,0.99,107.62,108.62,-0.68,99.08,0.46,0.97,85.69,0.0,0.0,1.0
90.35,94.42,9.73,16.09,23.17,23.17,39.19,2.28,1.67,,4.32,4.51,1.05,90.35,4.32,2093.7,,0.0,0.0,0.0,1.0
6.25,7.18,1.8,5.66,6.77,6.77,105.14,14.94,13.5,,0.13,0.15,1.15,9.79,12.99,108.04,7.42,0.0,0.75,12.37,1.0
0.52,11.94,0.38,0.13,0.3,0.34,269.13,32.51,195.77,7.37,0.96,21.95,22.95,21.01,95.64,9.8,0.35,21.97,15.15,59.47,1.0
36.88,42.27,51.9,8.41,9.16,9.16,282.86,41.29,55.31,,12.75,14.61,1.15,36.88,12.75,289.3,,0.0,0.0,0.0,1.0
-2.58,-15.42,-2.67,0.27,0.32,0.32,377.02,14.49,309.97,,0.83,4.98,5.98,29.17,83.27,21.57,0.23,0.0,32.88,55.74,1.0
3.94,160.6,,0.05,0.64,0.64,164.86,92.8,158.84,,0.98,39.78,40.78,18.15,97.55,6.94,0.07,0.0,4.91,49.21,1.0
12.3,100.0,16.36,0.22,0.31,0.31,392.43,37.51,419.98,,0.88,7.13,8.13,14.27,87.7,21.65,0.17,0.0,2.62,12.84,1.0
26.38,55.8,14.04,1.9,1.9,1.9,193.67,,100.99,,0.53,1.12,2.12,34.94,52.72,50.04,,0.0,4.55,19.63,1.0
11.9,27.89,10.54,0.81,1.49,1.49,322.39,125.52,112.91,,0.57,1.34,2.34,22.43,57.32,27.75,3.04,21.78,6.8,22.66,1.0
11.03,19.93,3.37,0.71,1.57,1.57,111.11,41.97,49.07,,0.45,0.81,1.81,138.47,44.65,47.1,1.85,0.0,38.9,81.86,1.0
10.84,54.81,8.24,0.15,1.05,1.15,276.96,183.53,204.6,20.02,0.75,3.8,5.06,19.22,75.15,14.8,1.39,0.0,4.7,32.34,1.0
13.25,41.35,,1.48,1.48,1.48,223.48,0.08,149.73,,0.68,2.12,3.12,13.25,67.96,19.5,,0.0,0.0,0.0,1.0
44.81,57.17,23.0,0.12,6.64,6.64,186.84,181.36,27.83,,0.22,0.28,1.28,71.68,21.62,207.24,,0.37,13.79,31.58,1.0
-19.73,-31.16,-28.13,2.79,2.73,2.73,437.61,-12.27,188.27,,0.37,0.58,1.58,37.15,36.69,-53.78,,0.0,81.08,148.91,1.0
3.58,13.87,,0.67,0.73,0.73,3151.15,138.51,2304.97,,74.2,287.58,3.88,3.58,74.2,4.82,0.56,0.0,0.0,0.0,1.0
19.0,20.08,3.96,0.99,18.66,18.66,75.84,71.02,4.02,,5.36,5.66,1.06,19.0,5.36,354.55,,0.0,0.0,0.0,1.0
20.44,22.63,,10.29,10.6,10.6,108.88,3.14,10.16,,0.1,0.11,1.11,56.59,9.71,210.52,,0.0,8.04,41.12,1.0
6.75,-186.94,7.26,0.29,0.39,0.44,391.15,41.22,397.61,20.85,1.04,-28.68,-27.68,23.85,103.61,9.41,-0.06,0.0,13.13,44.51,1.0
12.35,57.15,15.12,1.14,1.28,1.28,445.51,45.21,345.38,0.22,0.78,3.63,4.63,12.35,78.39,15.76,,0.0,0.0,0.0,1.0
-3.72,-4.27,-1.18,7.78,7.91,7.91,115.88,1.91,14.48,,0.13,0.15,1.15,23.43,12.83,-29.0,,0.0,8.64,79.58,1.0
5.64,68.22,,0.03,0.03,0.03,1912.45,,1735.14,3.15,0.92,11.1,12.1,5.64,91.74,8.63,0.09,0.0,0.0,0.0,1.0
10.5,20.97,14.26,1.95,2.05,2.05,494.1,24.88,238.09,,49.9,99.61,2.0,13.77,49.9,21.05,,0.0,4.43,18.27,1.0
32.26,37.0,,7.84,7.81,7.81,43.86,-0.16,5.56,,0.13,0.15,1.15,40.78,12.81,251.85,,0.0,0.7,11.04,1.0
4.39,19.47,1.91,0.29,1.09,1.09,127.59,96.3,121.44,,0.77,3.44,4.44,4.39,77.47,8.59,1.42,0.0,0.0,0.0,1.0
0.86,1.9,1.44,0.12,0.5,1.82,225.37,129.33,333.3,437.64,55.05,122.46,2.22,17.44,55.05,1.55,,0.0,27.88,92.34,1.0
0.33,8.14,,0.04,1.03,1.03,2831.5,2671.69,2687.05,,95.95,2370.82,24.71,0.33,95.95,0.34,,0.0,0.0,0.0,1.0
6.85,19.77,5.15,1.39,1.51,1.51,273.66,19.99,174.31,,0.65,1.89,2.89,35.4,65.36,12.92,11.84,0.0,21.46,64.61,1.0
-4.9,97.78,-7.72,0.2,0.31,0.32,573.32,61.68,423.04,9.14,105.01,-2094.42,-19.94,-3.4,105.01,1.09,-0.08,30.38,2.37,16.89,1.0
26.46,38.26,10.39,1.99,3.24,3.24,142.89,54.5,43.59,,0.31,0.45,1.45,47.44,30.84,85.79,,0.0,8.23,42.34,1.0
28.44,46.28,22.8,4.42,4.67,4.67,291.81,8.44,33.5,0.12,0.39,0.63,1.63,78.3,38.53,102.84,1.89,0.0,39.97,55.02,1.0
7.42,16.27,6.42,0.21,0.93,0.99,315.16,101.68,93.3,8.27,0.54,1.19,2.19,19.7,54.37,23.1,0.85,15.4,7.48,29.36,1.0
13.56,53.74,,-0.41,0.87,0.87,85.1,78.39,61.21,,0.75,2.96,3.96,60.67,74.77,31.82,0.72,0.0,8.13,41.31,1.0
3.79,7.6,4.68,0.73,0.82,3.57,449.99,7.39,88.6,244.14,0.5,1.01,2.01,3.79,50.2,11.89,1.67,0.0,0.0,0.0,1.0
3.09,6.87,1.37,1.29,1.82,1.82,108.69,46.88,87.8,,0.55,1.22,2.22,10.71,54.97,5.63,,0.0,3.38,58.81,1.0
13.24,13.48,,37.62,57.43,57.43,195.84,66.79,3.37,,1.74,1.77,1.02,21.57,1.74,760.4,,0.0,3.31,28.54,1.0
1.19,55.91,8.4,0.0,0.01,0.01,2560.71,11.98,12.6,,0.98,45.84,46.84,1.95,97.87,1.22,0.31,68.77,5.35,30.07,1.0
6.72,51.36,3.72,0.98,1.5,1.53,201.55,61.4,130.06,3.28,0.87,6.64,7.64,20.06,86.92,7.76,95.65,0.0,5.37,39.5,1.0
