feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,class
-45.59,44.57,-3.35,0.03,0.65,0.65,26.76,25.19,40.87,,2.02,-1.98,-0.98,883.91,202.29,-22.54,,0.0,68.32,104.49,1.0
-43.35,144.12,-18.26,0.5,1.7,1.7,153.35,52.68,44.11,,1.3,-4.32,-3.32,-24.1,130.08,-22.53,1.4,0.0,8.11,-559.17,1.0
2.79,27.93,3.0,0.18,0.24,0.29,391.07,17.28,308.75,17.65,0.9,9.0,10.0,4.27,90.0,18.24,0.18,6.62,1.59,6.21,1.0
7.46,28.14,5.68,0.84,1.18,1.51,277.24,49.63,145.83,48.12,0.73,2.77,3.77,9.32,73.5,14.47,2.37,0.0,1.42,11.42,1.0
16.04,17.71,7.49,10.63,10.63,10.63,91.0,,15.81,,9.41,10.39,1.1,16.04,9.41,170.52,,0.0,0.0,0.0,1.0
1.57,14.28,0.55,0.33,1.4,1.65,127.36,80.95,75.67,18.81,0.89,8.08,9.08,39.74,88.99,1.77,,0.0,9.62,54.02,1.0
5.47,15.25,3.78,0.22,0.79,1.11,251.65,85.95,156.47,50.03,0.64,1.79,2.79,35.97,64.11,16.07,1.19,0.03,15.14,56.4,1.0
12.49,142.66,8.33,0.08,1.04,1.08,242.83,122.21,127.11,4.18,0.91,10.42,11.42,40.48,91.25,29.42,0.21,0.0,18.68,47.75,1.0
24.83,74.21,6.48,0.3,0.89,0.89,94.93,37.05,62.47,,66.54,198.86,2.99,89.77,66.54,54.99,0.82,0.0,16.94,59.83,1.0
14.07,24.08,7.68,3.41,11.07,11.07,198.64,97.85,12.79,,0.42,0.71,1.71,40.36,41.56,33.87,2.09,0.0,14.35,58.75,1.0
-156.58,121.45,-71.8,0.01,0.2,0.31,166.91,69.55,349.63,41.98,228.93,-177.56,-0.78,-128.0,228.93,-67.63,-4.4,16.06,13.11,-23.81,1.0
9.11,58.59,4.83,0.44,0.99,1.03,192.93,40.96,66.47,3.06,0.84,5.43,6.43,41.2,84.46,26.81,0.99,4.48,17.01,52.36,1.0
0.85,7.55,0.81,0.04,0.98,0.98,344.53,247.64,242.32,1.45,0.89,7.88,8.88,1.15,88.73,4.84,0.95,15.84,0.21,2.79,1.0
15.42,45.87,20.32,1.11,1.51,1.51,479.48,124.14,314.74,,66.37,197.37,2.97,15.42,66.37,23.24,,0.0,0.0,0.0,1.0
-16.97,-30.27,-301.33,0.22,0.3,0.3,6463.31,93.41,727.14,,0.44,0.78,1.78,-16.71,43.95,-13.2,0.85,8.79,4.6,-3.21,1.0
3.15,6.35,3.1,1.8,3.47,3.67,358.48,155.9,93.15,18.89,0.5,1.02,2.02,54.7,50.35,8.7,18.42,0.0,36.73,65.29,1.0
-0.13,-0.29,-0.36,0.03,0.11,0.15,1015.91,42.66,507.09,19.74,0.54,1.19,2.19,12.08,54.35,4.41,0.5,3.53,24.48,60.85,1.0
8.83,10.21,8.74,3.68,5.87,6.32,360.24,88.83,41.13,18.21,0.14,0.16,1.16,36.9,13.52,87.3,3.23,0.0,19.71,46.48,1.0
1.7,4.85,0.89,0.06,0.79,1.16,189.82,85.21,111.56,43.29,0.65,1.86,2.86,26.31,64.97,9.62,1.39,4.96,9.23,55.26,1.0
18.4,81.54,9.14,0.04,0.6,0.61,180.79,78.01,138.41,0.79,0.77,3.43,4.43,21.0,77.43,33.67,0.43,0.0,0.9,6.16,1.0
10.73,19.92,14.13,1.46,2.64,2.84,479.26,131.06,111.49,21.74,0.46,0.86,1.86,16.75,46.14,43.08,2.3,0.0,7.92,21.24,1.0
-7.87,-8.53,,12.9,12.9,12.9,,,,,0.08,0.08,1.08,-7.87,7.75,-101.46,,0.0,,,1.0
0.42,10.39,,0.0,0.55,0.66,139.41,63.17,109.64,13.27,0.96,23.65,24.65,36.45,95.94,8.03,0.34,4.73,10.02,54.3,1.0
-1.21,-1.91,-16.26,2.5,7.03,8.0,4874.39,249.5,55.07,53.29,0.27,0.42,1.57,2.92,26.63,9.21,0.98,6.6,39.44,111.74,1.0
4.08,71.04,,0.81,3.03,3.03,716.28,234.35,105.74,,94.25,1640.31,17.4,4.08,94.25,7.19,1.3,0.0,0.0,0.0,1.0
28.91,46.69,9.87,2.57,2.57,2.62,124.34,0.17,46.85,2.47,0.38,0.62,1.62,28.91,38.1,75.87,,0.0,0.0,0.0,1.0
6.74,44.06,,0.27,1.22,1.22,151.24,116.78,80.21,,0.85,5.54,6.54,14.05,84.71,7.95,,31.03,2.47,31.13,1.0
3.6,17.96,7.91,0.05,0.33,0.34,799.55,175.75,631.52,4.12,0.8,3.98,4.98,16.44,79.93,10.29,0.28,0.0,20.82,40.59,1.0
-5.22,96.78,-9.85,0.03,0.19,0.29,687.18,118.05,716.27,73.37,105.39,-1954.66,-18.55,-4.18,105.39,-4.95,-0.08,0.0,1.96,-235.16,1.0
7.97,15.99,,1.29,3.43,3.49,232.84,54.87,25.59,1.31,50.16,100.66,2.01,29.82,50.16,50.05,1.41,0.0,7.86,25.51,1.0
-0.82,-0.86,-24.79,0.14,23.96,23.96,10941.09,10097.02,46.42,,0.04,0.04,1.04,-0.82,3.92,68.44,15.66,3.49,0.0,0.0,1.0
10.61,15.59,10.81,0.16,0.25,0.29,371.11,10.46,68.85,4.61,0.32,0.47,1.47,37.74,31.99,51.89,0.76,12.64,20.15,45.16,1.0
21.65,89.28,27.08,0.16,1.13,1.15,455.36,331.02,280.35,6.59,0.76,3.12,4.12,21.65,75.75,34.32,1.93,13.5,0.0,0.0,1.0
20.74,31.57,,2.01,4.23,4.25,134.77,65.52,30.75,0.55,0.34,0.52,1.52,48.66,34.29,63.31,43.79,0.0,7.35,33.21,1.0
24.66,35.81,12.17,1.94,3.88,4.65,179.61,63.58,32.92,25.61,0.31,0.45,1.45,53.71,31.14,97.0,5.49,0.0,10.19,33.55,1.0
1.26,3.16,0.46,0.41,1.17,1.52,133.24,58.52,37.96,27.13,0.6,1.51,2.51,92.7,60.09,12.18,3.76,29.64,23.52,64.2,1.0
-7.41,101.38,-6.63,0.1,0.6,0.82,325.97,170.31,344.57,76.12,1.07,-14.69,-13.69,31.82,107.31,-2.12,-0.59,0.0,24.87,73.13,1.0
23.2,37.61,8.71,1.77,3.02,4.06,136.62,40.77,32.73,34.34,0.38,0.62,1.62,90.58,38.32,61.34,72.27,10.39,18.01,46.57,1.0
2.7,39.07,2.08,0.32,0.95,0.95,280.55,152.06,241.83,,93.06,1347.38,14.48,3.65,93.06,6.06,0.76,0.0,0.55,7.29,1.0
10.67,17.78,,0.35,1.38,1.38,212.44,81.01,39.02,0.11,40.01,66.68,1.67,97.44,40.01,38.62,1.25,18.88,35.86,57.03,1.0
10.72,19.64,1.59,0.66,0.95,1.27,54.03,5.84,20.18,6.52,0.45,0.83,1.83,178.62,45.45,45.95,1.11,0.0,17.79,61.15,1.0
1.05,1.5,,0.06,1.39,1.42,3618.02,1413.08,1062.83,27.63,0.3,0.43,1.43,18.97,30.2,6.88,1.21,0.0,127.55,62.41,1.0
10.14,32.13,8.2,0.87,1.29,1.32,294.26,83.79,196.96,6.46,0.68,2.17,3.17,12.36,68.43,26.87,3.04,0.0,1.8,9.01,1.0
0.55,2.92,0.84,0.02,1.49,1.73,552.29,200.26,135.72,32.07,0.54,2.86,5.28,5.6,54.12,7.03,0.85,27.33,5.42,37.94,1.0
20.59,22.8,13.32,2.24,10.32,10.32,235.53,182.48,22.57,,0.1,0.11,1.11,20.59,9.69,212.47,,0.0,0.0,0.0,1.0
-3.9,-82.61,-7.78,0.3,0.8,2.03,456.18,96.5,205.67,253.01,0.95,20.16,21.16,4.76,95.27,-1.23,1.86,0.0,12.13,61.98,1.0
7.57,15.19,119.08,1.99,1.99,1.99,5726.79,,2821.45,,0.5,1.01,2.01,10.58,50.17,15.09,,0.36,47.39,-42.75,1.0
14.7,23.9,4.66,0.68,2.09,2.09,115.43,61.94,43.94,,0.38,0.63,1.63,14.7,38.49,201.61,3.17,0.0,0.0,0.0,1.0
15.24,19.33,7.8,1.35,2.01,2.01,186.4,25.58,39.04,,0.21,0.27,1.27,20.47,21.17,180.48,1.37,0.0,2.68,10.21,1.0
36.36,96.19,45.16,0.58,0.67,0.68,452.09,25.97,277.24,2.17,0.62,1.65,2.65,42.23,62.2,62.36,0.66,0.0,5.21,7.63,1.0
1.9,28.36,0.51,0.07,0.31,0.96,97.69,16.74,43.81,44.57,0.93,13.96,14.96,10.59,93.31,13.69,0.88,25.63,2.33,31.46,1.0
9.91,34.09,2.64,0.28,0.28,1.41,97.1,,68.12,76.78,0.71,2.44,3.44,44.28,70.93,13.97,,0.0,9.17,43.52,1.0
5.03,34.46,3.65,1.08,1.18,1.25,264.43,17.96,149.11,13.82,0.85,5.85,6.85,17.47,85.41,10.76,2.28,13.21,9.04,48.1,1.0
1.78,49.55,1.75,0.08,0.96,1.02,356.91,299.6,326.52,20.12,0.96,26.83,27.83,5.89,96.41,1.92,2.0,3.72,4.03,53.19,1.0
38.87,47.13,9.64,5.64,5.7,5.7,90.3,0.98,15.66,,17.53,21.26,1.21,38.87,17.53,221.71,,0.0,0.0,0.0,1.0
23.49,25.32,,13.79,13.79,13.79,182.49,,13.08,,0.07,0.08,1.08,36.32,7.24,324.19,,0.0,5.14,24.05,1.0
0.62,18.24,0.36,0.01,0.21,0.63,211.99,30.1,78.27,63.65,0.97,28.19,29.19,25.8,96.57,5.74,0.52,55.61,10.39,52.6,1.0
1.58,2.86,,0.75,1.16,1.16,134.57,41.52,101.76,,0.45,0.8,1.8,17.8,44.53,18.9,1.16,0.0,8.18,38.33,1.0
38.45,52.37,14.08,1.0,2.04,4.36,133.31,28.74,27.55,63.9,0.27,0.36,1.36,147.7,26.58,160.51,9.29,0.0,29.36,49.17,1.0
16.54,36.81,9.58,0.18,1.39,1.39,210.85,139.08,114.84,,0.55,1.23,2.23,18.47,55.07,55.47,1.92,0.0,1.12,6.0,1.0
27.87,71.7,,0.43,0.43,1.64,677.36,,409.19,495.19,0.61,1.57,2.57,27.87,61.14,45.58,,0.0,0.0,0.0,1.0
9.92,10.03,,87.51,91.0,91.0,190.55,7.23,2.07,,1.1,1.11,1.01,9.92,1.1,902.99,,0.0,0.0,0.0,1.0
8.31,44.81,9.88,0.28,1.09,1.28,432.89,240.84,311.89,59.77,0.81,4.39,5.39,17.61,81.45,11.85,3.96,0.0,7.86,25.93,1.0
3.31,12.43,1.81,0.31,0.5,0.5,199.67,18.22,88.31,,0.72,2.72,3.76,4.15,72.46,10.96,0.68,27.68,0.36,5.07,1.0
13.78,16.29,2.31,5.48,6.08,6.08,60.92,5.88,9.83,,0.15,0.18,1.18,85.27,15.39,89.54,,0.0,9.09,58.19,1.0
4.24,5.7,5.49,1.87,2.5,2.78,471.13,46.99,74.93,20.94,0.26,0.34,1.34,26.39,25.51,30.75,1.36,0.0,28.67,68.53,1.0
1.53,25.84,,1.06,1.06,1.06,17634.41,,16409.49,,0.94,15.91,16.91,1.53,94.09,1.62,,0.0,0.0,0.0,1.0
-14.91,-32.76,-3.68,0.9,1.82,1.82,89.73,44.28,48.13,,0.54,1.2,2.2,17.55,54.47,-23.67,34.11,0.0,8.0,120.36,1.0
4.61,14.5,2.27,1.03,2.63,3.13,178.96,28.55,17.94,9.02,0.68,2.15,3.15,25.49,68.22,28.21,1.32,39.57,10.27,46.98,1.0
33.99,70.29,17.22,1.79,1.97,1.97,184.44,17.0,92.26,0.2,0.52,1.07,2.07,43.22,51.64,65.82,,0.0,3.7,14.85,1.0
1.57,6.5,0.73,0.0,0.29,0.82,170.24,33.65,57.08,60.33,0.76,3.14,4.14,37.11,75.85,5.44,0.7,38.48,11.86,62.18,1.0
3.95,17.43,4.81,0.03,0.05,0.97,442.26,9.39,343.47,315.42,0.77,3.41,4.41,15.57,77.3,5.12,0.91,0.0,14.11,64.63,1.0
39.42,68.56,21.74,0.32,1.2,1.32,200.74,46.35,22.47,6.42,0.43,0.74,1.74,70.9,42.51,118.22,1.11,15.26,12.38,25.69,1.0
-31.68,62.77,-793.67,0.07,0.66,0.66,9118.81,8077.8,13570.8,,1.5,-2.98,-1.98,-31.68,150.48,-21.05,,0.0,0.0,0.0,1.0
5.77,7.47,5.49,4.23,4.29,4.32,346.18,4.46,76.18,2.13,0.23,0.29,1.29,18.73,22.76,37.01,20.13,0.0,9.78,44.38,1.0
4.62,6.27,1.5,0.74,2.2,2.73,118.6,22.14,15.19,8.04,0.24,0.32,1.36,19.74,23.76,44.18,1.31,10.37,3.63,40.35,1.0
34.16,43.46,22.51,1.1,3.05,3.23,239.78,96.1,49.11,8.93,0.21,0.27,1.27,58.91,21.38,178.78,2.4,0.0,16.3,33.24,1.0
25.29,59.34,,1.07,1.12,1.13,125.9,3.2,70.87,0.73,57.38,134.66,2.35,102.62,57.38,84.66,1.22,0.0,20.07,42.17,1.0
3.89,21.42,0.64,0.24,0.25,1.22,60.08,0.54,48.63,47.12,0.82,4.51,5.51,30.55,81.85,4.75,,0.0,4.4,76.63,1.0
24.78,39.93,12.77,0.24,0.24,0.39,187.58,,60.88,9.17,0.38,0.61,1.61,110.91,37.94,85.54,0.78,0.0,32.55,49.94,1.0
3.63,3.8,1.9,5.4,16.8,19.39,190.96,81.82,7.18,18.57,0.04,0.05,1.05,10.65,4.45,124.6,3.66,0.0,2.58,33.99,1.0
-17.87,-32.05,-2.2,0.4,2.85,2.85,44.91,38.09,15.54,,0.44,0.79,1.79,-17.87,44.24,-40.39,,0.0,0.0,0.0,1.0
18.3,23.0,5.89,1.41,3.05,4.91,117.1,38.4,23.42,43.51,0.2,0.26,1.26,70.59,20.45,89.5,,0.0,11.61,44.79,1.0
3.36,5.01,2.15,0.51,1.51,1.93,232.95,62.78,53.77,26.19,32.89,49.0,1.49,52.0,32.89,36.14,1.48,3.83,21.45,57.15,1.0
2.8,23.39,1.39,0.14,0.3,0.3,180.36,21.68,137.13,0.1,0.88,7.34,8.34,16.87,88.02,26.76,0.29,0.0,5.52,28.12,1.0
7.49,28.24,3.71,0.06,1.38,1.42,180.41,140.43,113.95,4.8,0.73,2.76,3.77,20.97,73.28,11.55,7.4,3.48,4.92,32.76,1.0
27.64,61.57,13.85,0.69,1.76,1.78,182.32,105.96,99.36,1.73,55.1,122.73,2.23,49.35,55.1,53.49,20.79,0.0,10.87,37.08,1.0
1.03,16.13,0.7,0.06,0.9,0.96,247.27,190.33,228.03,15.69,93.64,1471.67,15.72,12.08,93.64,7.52,0.64,0.0,7.51,26.84,1.0
44.6,50.75,25.77,1.09,2.81,2.81,210.27,42.94,24.91,,0.12,0.14,1.14,63.98,12.11,768.14,1.44,0.0,8.08,16.07,1.0
25.23,27.18,28.14,2.78,11.89,11.89,406.0,262.57,28.83,,0.07,0.08,1.08,25.23,7.18,351.35,6.34,0.0,0.0,0.0,1.0
-10.87,1174.49,-19.29,0.04,0.19,0.42,645.98,32.25,293.02,68.65,1.01,-108.8,-108.04,-3.36,100.71,-2.07,0.65,15.16,9.58,64.03,1.0
0.57,7.44,0.74,0.28,1.34,1.6,470.52,160.5,64.23,38.58,0.92,11.94,12.94,8.82,92.27,3.95,1.4,22.39,7.57,-30.48,1.0
2.23,6.03,6.62,0.29,0.6,0.68,1082.19,196.91,640.15,53.45,0.63,1.71,2.71,9.98,63.04,6.73,0.65,0.0,23.05,57.63,1.0
43.7,54.8,75.22,1.18,4.94,4.94,626.55,471.3,125.47,,0.2,0.25,1.25,43.7,20.25,215.83,,0.0,0.0,0.0,1.0
28.38,643.84,5.97,0.21,0.57,0.7,76.57,24.51,66.55,8.81,0.96,21.69,22.69,76.91,95.59,37.03,0.28,2.0,7.35,38.81,1.0
14.14,15.98,16.2,0.94,5.98,7.89,416.86,218.69,43.61,83.24,0.12,0.13,1.13,26.82,11.5,131.22,5.37,0.0,10.21,28.57,1.0
-37.29,-324.09,-29.38,0.96,1.13,1.13,286.81,41.49,251.03,,88.5,769.21,8.69,-37.29,88.5,-42.13,,0.0,0.0,0.0,1.0
22.12,40.26,9.14,2.18,2.48,2.48,150.45,18.29,59.93,,0.45,0.82,1.82,105.65,45.06,49.09,,0.0,34.53,79.06,1.0
13.06,59.9,6.56,0.04,0.99,1.23,182.86,133.68,141.08,33.73,78.19,358.51,4.59,17.2,78.19,18.29,5.22,0.0,2.08,18.74,1.0
-1.89,-2.55,,1.9,2.97,3.03,186.45,45.21,42.29,2.5,0.26,0.34,1.35,55.22,25.63,28.98,2.5,0.0,21.01,60.34,1.0
10.17,13.18,9.86,0.65,4.44,5.87,353.09,67.54,17.81,25.46,0.17,0.22,1.3,20.55,17.17,119.87,1.13,0.0,6.36,18.76,1.0
39.62,64.73,11.49,0.67,1.57,1.69,105.56,35.5,39.22,4.77,0.39,0.63,1.63,79.08,38.79,118.46,1.68,0.0,11.45,40.39,1.0
1.38,5.91,0.64,0.0,0.3,1.0,168.62,28.55,76.09,72.25,0.77,3.29,4.29,29.42,76.67,17.28,0.97,16.28,9.4,47.64,1.0
0.23,0.6,0.26,0.41,0.48,0.48,417.75,17.97,258.4,,0.63,1.67,2.67,5.25,62.54,16.41,0.54,0.0,5.77,21.68,1.0
17.79,86.98,14.15,0.28,1.21,1.21,289.39,206.84,223.56,,0.8,3.89,4.89,24.66,79.54,23.59,3.5,0.0,5.46,22.33,1.0
1.95,2.23,1.92,1.34,2.54,6.05,358.13,47.77,39.58,138.96,0.13,0.15,1.15,34.37,12.72,49.56,2.77,0.0,23.19,60.15,1.0
-12.05,-169.98,-12.37,0.0,0.21,0.54,373.61,34.92,83.49,54.96,92.91,1310.27,14.1,9.78,92.91,-9.03,0.71,23.04,15.84,97.04,1.0
9.38,14.8,4.53,0.56,0.99,1.93,175.91,17.33,40.71,38.31,0.37,0.58,1.58,31.59,36.65,49.32,1.39,0.0,7.58,36.36,1.0
5.77,7.1,4.63,1.89,6.01,7.54,292.32,91.01,22.06,33.64,0.19,0.23,1.23,68.19,18.76,56.51,2.11,0.0,36.65,60.74,1.0
-10.61,-150.01,-7.51,0.16,0.32,0.46,257.7,36.35,235.56,33.55,0.93,13.14,14.14,3.03,92.93,-4.58,0.12,0.0,9.66,118.32,1.0
1.29,3.27,1.09,0.01,0.97,1.5,307.85,106.12,70.42,61.47,48.84,123.58,2.53,24.49,48.84,21.74,1.16,14.82,14.02,50.25,1.0
-4.95,565.35,-8.63,0.12,0.18,0.24,635.23,32.3,455.57,33.66,1.01,-115.3,-114.3,12.91,100.87,1.18,0.14,15.82,22.35,50.39,1.0
-6.45,-47.35,-3.9,0.22,0.72,1.34,220.35,28.85,45.02,36.45,0.86,6.34,7.34,11.51,86.37,-6.11,1.14,65.25,7.51,75.06,1.0
7.1,19.78,,1.49,1.56,1.56,247.84,10.26,157.19,,0.64,1.79,2.79,8.58,64.13,11.06,,0.0,0.75,7.32,1.0
-59.61,58.21,-40.87,0.02,0.26,0.5,249.57,115.1,491.12,121.56,2.02,-1.98,-0.98,190.67,202.4,-29.45,,0.0,171.6,155.83,1.0
2.06,23.33,,0.08,0.85,0.85,164.52,91.01,116.6,,0.91,10.35,11.35,10.32,91.19,21.26,0.71,1.24,2.6,20.24,1.0
8.99,30.43,10.53,1.4,1.4,1.41,426.59,1.71,298.33,3.32,70.46,238.58,3.39,46.19,70.46,12.76,,0.0,43.6,73.16,1.0
10.54,18.38,4.83,0.77,2.37,2.64,166.62,88.0,54.91,14.95,0.43,0.74,1.74,85.61,42.62,30.47,5.51,0.0,24.6,57.27,1.0
9.31,42.75,3.93,0.03,1.87,1.89,153.82,87.03,56.19,1.03,78.1,358.77,4.59,88.58,78.1,24.04,2.17,26.6,24.52,62.07,1.0
0.33,17.19,0.12,0.19,0.66,0.82,133.6,59.85,128.27,21.53,0.98,51.4,52.42,16.8,98.06,2.18,0.12,0.0,4.41,64.01,1.0
16.73,65.18,,0.02,1.4,1.4,50.97,,35.96,,0.74,2.9,3.9,652.42,74.34,22.5,,0.0,62.5,67.97,1.0
3.26,4.56,2.12,2.29,3.27,3.27,236.86,64.47,65.68,,0.28,0.4,1.4,27.94,28.49,30.77,9.86,0.0,11.6,49.17,1.0
15.43,31.29,8.21,2.8,2.81,2.88,193.71,0.48,35.49,2.24,0.51,1.03,2.03,17.41,50.68,57.86,1.74,0.0,1.06,4.65,1.0
-4.84,-5.57,,7.59,7.64,7.64,,,,,0.13,0.15,1.15,-4.84,13.09,-37.01,,0.0,,0.0,1.0
-146.68,57.76,-37.12,0.39,0.59,0.59,92.13,31.1,154.14,,3.54,-1.39,-0.39,99.92,353.96,-41.44,,0.0,62.41,193.66,1.0
-5.27,-18.45,-4.31,0.0,0.31,0.79,297.68,58.0,21.21,96.07,70.31,246.24,3.5,3.09,70.31,1.07,0.66,62.07,4.96,37.22,1.0
5.17,8.88,4.98,0.0,1.5,1.83,351.19,185.93,131.14,43.1,38.28,65.79,1.72,6.44,,,,,,,1.0
-0.44,-0.62,-0.42,0.4,2.07,3.59,345.89,35.71,37.17,56.43,0.25,0.36,1.4,35.92,25.45,32.18,1.33,0.0,24.03,60.32,1.0
13.42,20.04,6.38,0.14,1.91,2.32,173.1,91.55,34.18,21.46,0.33,0.49,1.49,77.16,32.92,35.86,2.37,10.45,22.29,95.36,1.0
0.11,0.34,0.18,0.01,0.13,0.96,607.51,45.53,219.44,290.77,0.61,1.95,3.2,5.85,60.9,13.35,0.72,22.25,6.92,37.14,1.0
-1.78,-3.57,-2.45,0.08,0.21,0.25,500.27,32.73,246.24,9.16,0.5,1.0,2.0,1.97,49.98,28.31,0.57,0.0,5.16,11.31,1.0
8.8,35.49,1.22,0.26,1.23,1.59,50.39,27.36,28.23,10.24,0.75,3.03,4.03,240.35,75.2,13.9,3.16,0.0,32.05,91.97,1.0
24.9,48.23,,0.5,2.06,2.14,275.91,197.93,127.51,10.54,0.48,0.94,1.94,73.45,48.38,51.47,,0.0,27.18,45.82,1.0
4.99,17.87,2.7,1.1,1.36,1.39,165.35,35.9,140.17,4.21,0.72,2.58,3.58,8.87,72.05,6.93,,0.0,2.09,35.98,1.0
12.04,12.96,,14.03,14.03,14.03,675.93,,47.65,,0.07,0.08,1.08,12.77,7.13,168.88,,0.0,1.0,2.64,1.0
20.14,33.58,44.14,2.49,2.5,2.5,797.74,2.5,315.76,,40.02,66.73,1.67,22.29,40.02,50.33,,0.0,4.7,7.22,1.0
4.73,6.87,1.77,1.23,1.6,2.64,136.56,14.79,39.85,41.34,0.31,0.45,1.45,67.64,31.12,63.25,3.36,0.85,16.51,52.61,1.0
12.4,15.33,,4.65,5.23,5.23,88.21,9.58,16.7,,19.14,23.67,1.24,12.4,19.14,64.77,,0.0,0.0,0.0,1.0
24.67,86.05,,0.38,1.52,1.52,99.38,69.32,60.73,0.1,0.71,2.48,3.49,86.77,71.2,39.8,7.0,0.0,12.89,46.81,1.0
7.33,71.35,,0.67,0.72,0.72,278.04,11.76,263.4,,0.9,8.74,9.74,62.06,89.73,29.81,0.29,0.0,34.47,50.87,1.0
61.01,88.2,,1.97,3.24,3.24,174.12,67.36,53.09,,30.83,44.56,1.45,61.01,30.83,197.91,,0.0,0.0,0.0,1.0
21.95,55.69,2.42,0.17,1.32,2.05,40.1,17.75,15.44,11.36,0.61,1.54,2.54,400.57,60.59,42.21,2.96,0.0,29.44,65.2,1.0
2.51,3.9,0.72,2.78,2.78,2.82,104.88,,36.84,1.4,0.36,0.55,1.55,59.27,35.52,7.08,,0.0,13.05,144.15,1.0
21.56,70.89,12.96,0.87,1.12,1.25,218.8,35.62,147.07,19.65,0.7,2.29,3.29,60.9,69.59,35.17,2.04,0.0,23.65,54.04,1.0
0.0,0.0,,0.74,0.8,0.8,55.57,3.06,48.53,,0.88,7.55,8.55,24.66,88.3,0.0,0.4,0.0,3.77,592.46,1.0
6.33,9.86,6.72,1.88,2.19,2.8,386.41,42.46,136.46,83.38,35.78,55.72,1.56,30.83,35.78,17.7,,0.0,26.01,56.96,1.0
68.61,96.37,26.41,3.39,3.47,3.47,139.74,3.33,39.92,,0.29,0.4,1.4,68.61,28.8,238.22,,0.0,0.0,0.0,1.0
27.07,33.48,,6.93,7.6,7.6,395.99,34.52,51.39,,0.19,0.24,1.24,27.07,19.15,142.44,,0.0,0.0,0.0,1.0
